Name;Company;Type of industry;CO2 emissions [t];year_emission;Source CO2 emissions;Type of source;City;Province;Location (latitude);Location (longitude)
Arnot Power Station;Eskom Holdings SOC Ltd;Coal fired power station;9794642;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Rietkuil;Mpumalanga;-25.943807;29.79204
Camden Power Station;Eskom Holdings SOC Ltd;Coal fired power station;8422315;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Camden;Mpumalanga;-26.621477;30.090074
Duvah Power Station;Eskom Holdings SOC Ltd;Coal fired power station;12503942;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Witbank;Mpumalanga;-25.961261;29.339713
Grootvlei Power Station;Eskom Holdings SOC Ltd;Coal fired power station;1923317;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Grootvlei;Mpumalanga;-26.768494;28.497758
Hendrina Power Station;Eskom Holdings SOC Ltd;Coal fired power station;2054173;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Pullens Hope;Mpumalanga;-26.032044;29.601613
Kendal Power Station;Eskom Holdings SOC Ltd;Coal fired power station;14739639.2;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Kendal;Mpumalanga;-26.090285;28.968796
Kriel Power Station;Eskom Holdings SOC Ltd;Coal fired power station;14190447.14;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Kriel;Mpumalanga;-26.253937;29.178465
Kusile Power Station;Eskom Holdings SOC Ltd;Coal fired power station;7347692;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Witbank;Mpumalanga;-25.92007;28.924942
Lethabo Power Station;Eskom Holdings SOC Ltd;Coal fired power station;24550899.45;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Viljoensdrif;Free State;-26.742032;27.976892
Majuba Power Station;Eskom Holdings SOC Ltd;Coal fired power station;20109936;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Amersfoort;Mpumalanga;-27.10061;29.770963
Matimba Power Station;Eskom Holdings SOC Ltd;Coal fired power station;23187464.37;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Lephalale;Limpopo;-23.668833;27.610838
Matla Power Station;Eskom Holdings SOC Ltd;Coal fired power station;16723300;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Kriel;Mpumalanga;-26.281332;29.141506
Medupi Power Station;Eskom Holdings SOC Ltd;Coal fired power station;26162906;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Lephalale;Limpopo;-23.61278;27.54089
Tutuka Power Station;Eskom Holdings SOC Ltd;Coal fired power station;8193830.7;2023; Eskom's emissions report 2023. See sources and methodology ; Industrial point source ;Standerton;Mpumalanga;-26.777156;29.352376
Secunda;Sasol South Africa (Pty) Ltd;Petrochemical;47619000;2023; Sasol's Climate Change Report 2023 ; Industrial point source ;Secunda;Mpumalanga;-26.553694;29.16575
Sasolburg ;Sasol South Africa (Pty) Ltd;Petrochemical;4343000;2023; Sasol's Climate Change Report 2023 ; Industrial point source ;Sasolburg;Gauteng;-26.82407215;27.84200033
Natref;Sasol South Africa (Pty) Ltd;Petrochemical;953000;2023; Sasol's Climate Change Report 2024 ; Industrial point source ;Sasolburg;Gauteng;-26.79881916;27.85641208
De Hoek;Pretoria Portland Cement Co. (Pty) Ltd;Cement;110000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Lime Acres;Northern Cape;-32.94221938;18.76070351
Dwaalboom;Pretoria Portland Cement Co. (Pty) Ltd;Cement;570000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Dwaalboom;Limpopo;-24.81043769;26.83053005
Hercules;Pretoria Portland Cement Co. (Pty) Ltd;Cement;760000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Pretoria;Gauteng;-25.72196587;28.17043268
Jupiter;Pretoria Portland Cement Co. (Pty) Ltd;Cement;720000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Johannesburg;Gauteng;-26.22021836;28.11910548
Riebeeck;Pretoria Portland Cement Co. (Pty) Ltd;Cement;620000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Riebeek West;Western Cape;-33.31387965;18.84497625
Slurry;Pretoria Portland Cement Co. (Pty) Ltd;Cement;600000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Mahikeng;North West;-25.81413594;25.84589205
Dudfield;AfriSam Consortium (Pty) Ltd;Cement;710000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Lichtenburg;North West;-26.17863857;25.99059307
Delportshoop;AfriSam Consortium (Pty) Ltd;Cement;710000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Ulco;Northern Cape;-28.32083674;24.22154088
Vanderbijlpark ;AfriSam Consortium (Pty) Ltd;Cement;210000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Vanderbijlpark ;Gauteng;-26.66991977;27.79821313
Lichtenburg Cement Plant ;Lafarge Industries South Africa (Pty) Ltd;Cement;1560000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Lichtenburg;North West;-26.1355792;26.18075779
Aganang Cement Plant;Dangote Cement South Africa (Pty) Ltd;Cement;720000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Lichtenburg;North West;-26.14711411;25.84963571
Simuma Cement Plant;Natal Portland Cement Co. (Pty) Ltd;Cement;480000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Port Shepstone ;KwaZulu-Natal;-30.67426685;30.34191068
Limpopo Cement Plant ;Mamba Cement Co. (Pty) Ltd;Cement;300000;2021; Study: Carbon Sources for PtX Products and Synthetic Fuels in South Africa  ; Industrial point source ;Thabazimbi;Limpopo;-24.98596064;27.54642384
ArcelorMittal-Vanderbijlpark;ArcelorMittal South Africa ;Iron & steel;4819800;2023; Estimated: See sources and methodology ; Industrial point source ;Vanderbijlpark; Gauteng;-26.66402538;27.8135779
ArcelorMittal-Newcastle;ArcelorMittal South Africa ;Iron & steel;2894650;2023; Estimated: See sources and methodology ; Industrial point source ;Newcastle;KwaZulu-Natal;-27.69822627;30.00332645
Scaw Metals Group;;Iron & steel;269772.3709;2022; Estimated: See sources and methodology ; Industrial point source ;Johannesburg; Gauteng;-26.27132596;28.16269655
SA Steel Mills;;Iron & steel;246953.3088;2023; Estimated: See sources and methodology ; Industrial point source ;Meyerton; Gauteng;-26.56916453;27.99643709
Force Steels;Shaurya Steel (Pty) Ltd;Iron & steel;52858.15686;2020; Estimated: See sources and methodology ; Industrial point source ;Nigel; Gauteng;-26.42142954;28.44018292
Veer Steel Mills ;;Iron & steel;88096.9281;2022; Estimated: See sources and methodology ; Industrial point source ;Alberton;Gauteng ;-26.30161895;28.13884708
Columbus Stainless;Acerinox Group;Iron & steel;250000;2022; Estimated: See sources and methodology ; Industrial point source ;Middelburg;Eastern Cape;-25.79622565;29.49836067
